,record_id,message
165,75b60436-da51-4ccf-b14a-27f45f782b2b,Metadata mismatch: author 'Chris Mackenzie' in CKAN record not found in DataCite
166,75b60436-da51-4ccf-b14a-27f45f782b2b,Metadata mismatch: author 'Brian Hunt' in CKAN record not found in DataCite
167,75b60436-da51-4ccf-b14a-27f45f782b2b,Metadata mismatch: author 'Stephanie Waterman' in CKAN record not found in DataCite
168,75b60436-da51-4ccf-b14a-27f45f782b2b,Metadata mismatch: related identifier '10.1029/2020JC017033' (IsSourceOf) in DataCite not found in CKAN
169,017ab2c4-70ea-484a-ae6c-7d441d2ba19d,No projects associated
170,017ab2c4-70ea-484a-ae6c-7d441d2ba19d,No version
171,017ab2c4-70ea-484a-ae6c-7d441d2ba19d,No DOI defined
172,017ab2c4-70ea-484a-ae6c-7d441d2ba19d,No funder
173,a7a3cb32-66ff-4dcb-b05a-2c71511bd115,No version
174,a7a3cb32-66ff-4dcb-b05a-2c71511bd115,No DOI defined
175,a7a3cb32-66ff-4dcb-b05a-2c71511bd115,No funder
176,96b5a7f2-5f23-413a-b060-d268bcff83ba,DOI is not redirecting to Hakai's catalogue: https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0246099
177,96b5a7f2-5f23-413a-b060-d268bcff83ba,"Metadata mismatch: title CKAN='High-resolution time series of surface seawater CO2 content from the OceansAlaska Shellfish Hatchery in Ketchikan, Alaska, USA' | DataCite='High-resolution record of surface seawater CO2 content from 2016-08 to 2019-05 from the OceansAlaska Shellfish Hatchery in Ketchikan, Alaska, USA (NCEI Accession 0246099)'"
178,96b5a7f2-5f23-413a-b060-d268bcff83ba,Metadata mismatch: creator 'Katie Pocock' in DataCite not found in CKAN record
179,96b5a7f2-5f23-413a-b060-d268bcff83ba,Metadata mismatch: author 'Katie Campbell' in CKAN record not found in DataCite
180,96b5a7f2-5f23-413a-b060-d268bcff83ba,Metadata mismatch: related work 'https://catalogue.hakai.org/erddap/tabledap/hakaiketchikanbolresearch.html' in CKAN not found in DataCite
181,96b5a7f2-5f23-413a-b060-d268bcff83ba,Metadata mismatch: related work '10.21966/pk18-z035' in CKAN not found in DataCite
182,44754736-c8be-49b1-8806-a0ca4a78255a,No version
183,44754736-c8be-49b1-8806-a0ca4a78255a,No DOI defined
184,57770468-42a9-4654-bf7d-7672939ed002,No version
185,57770468-42a9-4654-bf7d-7672939ed002,No DOI defined
186,57770468-42a9-4654-bf7d-7672939ed002,No publisher
187,d70bcd3d-dc07-479f-856f-ad70d11c51f1,Metadata mismatch: related work 'https://10.1029/2025gl115235' in CKAN not found in DataCite
188,0c08a4f0-b28c-40fe-aaa8-a03113a7c735,No version
189,0c08a4f0-b28c-40fe-aaa8-a03113a7c735,No DOI defined
190,0c08a4f0-b28c-40fe-aaa8-a03113a7c735,No funder
191,0c08a4f0-b28c-40fe-aaa8-a03113a7c735,No publisher
192,cc016896-78d9-46e8-887d-6c1dd106c0e8,Metadata mismatch: related work 'https://catalogue.hakai.org/dataset/ca-cioos_3efdccb0-08ef-4e90-ac91-72969f94a99a' in CKAN not found in DataCite
193,83f387d2-f77e-4921-af15-e064d87ad01a,Metadata mismatch: creator 'Hakai Institute' in DataCite not found in CKAN record
194,0049e274-f23e-448c-b307-14aa3b4e0b4a,Metadata mismatch: related work '10.21966/36hp-7f40' in CKAN not found in DataCite
195,0049e274-f23e-448c-b307-14aa3b4e0b4a,Metadata mismatch: related identifier 'https://www.onsetcomp.com/products/data-loggers/mx2203/' (IsDocumentedBy) in DataCite not found in CKAN
196,6a1254e5-3815-4289-ba1c-984fb84dc1fe,No version
197,6a1254e5-3815-4289-ba1c-984fb84dc1fe,Metadata mismatch: creator 'Hakai Institute' in DataCite not found in CKAN record
198,ee2eec87-7a78-4a7f-87b7-54347a6c3b2f,No version
199,ee2eec87-7a78-4a7f-87b7-54347a6c3b2f,Metadata mismatch: creator 'Hakai Institute' in DataCite not found in CKAN record
200,ee2eec87-7a78-4a7f-87b7-54347a6c3b2f,Metadata mismatch: author 'Hakai Geospatial' in CKAN record not found in DataCite
201,75a7ec78-6f48-41f3-92c4-9b734206d6af,No projects associated
202,75a7ec78-6f48-41f3-92c4-9b734206d6af,No version
203,75a7ec78-6f48-41f3-92c4-9b734206d6af,No DOI defined
204,75a7ec78-6f48-41f3-92c4-9b734206d6af,No funder
205,8c6f32be-1f60-4fcb-bf8b-a63cbac302f7,No version
206,8c6f32be-1f60-4fcb-bf8b-a63cbac302f7,No funder
207,8c6f32be-1f60-4fcb-bf8b-a63cbac302f7,Metadata mismatch: creator 'M Korver' in DataCite not found in CKAN record
208,8c6f32be-1f60-4fcb-bf8b-a63cbac302f7,Metadata mismatch: author 'Maartje C. Korver' in CKAN record not found in DataCite
209,8c6f32be-1f60-4fcb-bf8b-a63cbac302f7,Metadata mismatch: author 'Emily Haughton' in CKAN record not found in DataCite
210,8c6f32be-1f60-4fcb-bf8b-a63cbac302f7,Metadata mismatch: author 'William C. Floyd' in CKAN record not found in DataCite
211,8c6f32be-1f60-4fcb-bf8b-a63cbac302f7,Metadata mismatch: author 'Ray Brunsting' in CKAN record not found in DataCite
212,9df42f88-b8d8-4e2d-97bb-ad5ba49f6f1f,Metadata mismatch: related work 'http://ipt.iobis.org/obiscanada/resource?r=hakai_seagrassdensitysurveys' in CKAN not found in DataCite
213,8a7cd5ea-e167-419e-a5c3-919acafe8455,No version
214,8a7cd5ea-e167-419e-a5c3-919acafe8455,No DOI defined
215,e3205958-52b4-4c42-a02d-34d713a20a53,No version
216,e3205958-52b4-4c42-a02d-34d713a20a53,No DOI defined
217,1ad9809b-16a0-44f4-abc8-a1474b728c15,No version
218,1ad9809b-16a0-44f4-abc8-a1474b728c15,Metadata mismatch: author 'Thea Mai' in CKAN record not found in DataCite
219,1ad9809b-16a0-44f4-abc8-a1474b728c15,Metadata mismatch: author 'Hakai Geospatial Technology Team' in CKAN record not found in DataCite
220,1ad9809b-16a0-44f4-abc8-a1474b728c15,Metadata mismatch: related identifier 'https://doi.org/10.21966/0z9k-cc28' (IsIdenticalTo) in DataCite not found in CKAN
221,c8f6fd7c-7c63-440b-b69a-bd0df3abfd26,No version
222,c8f6fd7c-7c63-440b-b69a-bd0df3abfd26,Empty resource name
223,c8f6fd7c-7c63-440b-b69a-bd0df3abfd26,Metadata mismatch: creator 'Hakai Institute' in DataCite not found in CKAN record
224,c8f6fd7c-7c63-440b-b69a-bd0df3abfd26,Metadata mismatch: author 'Hakai Geospatial' in CKAN record not found in DataCite
225,b9671efe-5980-452b-90f8-f30e4f1bc194,Metadata mismatch: related work 'https://drive.google.com/file/d/1yg1ec4-lvj0ut6csylv0p1udmcq-a5xu/view?usp=sharing' in CKAN not found in DataCite
226,b9671efe-5980-452b-90f8-f30e4f1bc194,Metadata mismatch: related work '10.21966/2aap-hn61' in CKAN not found in DataCite
227,b9671efe-5980-452b-90f8-f30e4f1bc194,Metadata mismatch: related identifier 'https://drive.google.com/file/d/1JzY5ELRe1sIbZdq7wBmAOT1t7Y1dNJ2v/view?usp=sharing' (HasMetadata) in DataCite not found in CKAN
228,13dc3c6c-9dd4-47a4-92ad-681c653d3565,No version
229,13dc3c6c-9dd4-47a4-92ad-681c653d3565,Metadata mismatch: related identifier 'https://github.com/HakaiInstitute/hakai-datasets/raw/development/datasets_documents/HakaiWaterPropertiesProfiles/Hakai_Water_Properties_Processing_and_QAQC_Procedure_20210331.pdf' (IsDocumentedBy) in DataCite not found in CKAN
230,3031aa60-689f-4b94-9dc6-9912cc742431,No version
231,3031aa60-689f-4b94-9dc6-9912cc742431,No DOI defined
232,3031aa60-689f-4b94-9dc6-9912cc742431,No funder
233,3031aa60-689f-4b94-9dc6-9912cc742431,No publisher
234,d64fd03b-46d4-4662-a123-c11bc42199b6,No version
235,d64fd03b-46d4-4662-a123-c11bc42199b6,Metadata mismatch: creator 'Hakai Institute' in DataCite not found in CKAN record
236,d64fd03b-46d4-4662-a123-c11bc42199b6,Metadata mismatch: author 'Hakai Geospatial Technology Team' in CKAN record not found in DataCite
237,b47e53cd-74dd-4580-80d0-260860064f4b,Metadata mismatch: author 'Debora Obrist' in CKAN record not found in DataCite
238,5c2aac2c-0dd8-49d8-87b2-5c52b3d42946,No version
239,7607322d-6dea-4758-a257-de8353c899c1,No version
240,7607322d-6dea-4758-a257-de8353c899c1,"Metadata mismatch: title CKAN='Water Level Time Series, Choke Pass, Central Coast, BC, Canada (Provisional)' | DataCite='Water Level measured from a Pressure Tide Gauge Instrument Deployed in Choke Pass on Calvert Island Research'"
241,1dfdbadf-6314-4411-8d18-752f6dd920e9,Metadata mismatch: related work '10.48321/d1ae4278b4' in CKAN not found in DataCite
242,5042c858-d375-42f5-82e0-ee1e4da962b6,Metadata mismatch: related identifier 'https://www.sciencedirect.com/book/9780126930153/identifying-marine-diatoms-and-dinoflagellates' (IsDocumentedBy) in DataCite not found in CKAN
243,5042c858-d375-42f5-82e0-ee1e4da962b6,Metadata mismatch: related identifier 'https://books.google.ca/books/about/Marine_Phytoplankton.html?id=_lgVAQAAIAAJ&redir_esc=y' (IsDocumentedBy) in DataCite not found in CKAN
244,5042c858-d375-42f5-82e0-ee1e4da962b6,Metadata mismatch: related identifier 'https://www.sciencedirect.com/book/9780126930153/identifying-marine-diatoms-and-dinoflagellates' (IsDocumentedBy) in DataCite not found in CKAN
245,5042c858-d375-42f5-82e0-ee1e4da962b6,Metadata mismatch: related identifier 'https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=30361177' (IsDocumentedBy) in DataCite not found in CKAN
246,6b93216b-4bbe-4204-a2c3-551a667d00fd,No version
247,6b93216b-4bbe-4204-a2c3-551a667d00fd,Metadata mismatch: creator 'Hakai Institute' in DataCite not found in CKAN record
248,6b93216b-4bbe-4204-a2c3-551a667d00fd,Metadata mismatch: author 'Hakai Geospatial' in CKAN record not found in DataCite
249,3c4cc294-1e9a-410e-81b0-0d9461e4b1c9,"Metadata mismatch: title CKAN='Nutrient and dissolved organic carbon in fresh and marine waters of Kwakshua Channel, British Columbia, Canada. Version 1.0.' | DataCite='Freshwater and marine water quality (nutrients and carbon) - Calvert Island - 2014 to 2018'"
